country,year,private_investment,number_of_newly_funded_companies,number_of_total_journal_publications,number_of_total_conference_publications,number_of_total_repository_publications,number_of_total_journal_citations,number_of_total_conference_citations,number_of_total_repository_citations,number_of_total_patent_fillings,number_of_total_patent_grants,year_h_index,relative_ai_skill_pen,ai_talent_concentration,norm_private_investment,norm_number_of_newly_funded_companies,norm_number_of_total_journal_publications,norm_number_of_total_conference_publications,norm_number_of_total_repository_publications,norm_number_of_total_journal_citations,norm_number_of_total_conference_citations,norm_number_of_total_repository_citations,norm_number_of_total_patent_fillings,norm_number_of_total_patent_grants,norm_year_h_index,norm_relative_ai_skill_pen,norm_ai_talent_concentration,econ_pillar,rd_pillar,vibrancy,rank
china,2020,9823386329,121,51071,22228,6921,258767,41452,53248,56341,469,1.185989837,1.17441,0.0204,36.50919688,34.77011494,100,100,41.95437355,100,66.27590233,41.43738419,100,8.845718597,27.90755805,32.93528261,28.4965035,32.1237312,69.81417233,50.96895177,2
denmark,2020,16561926,4,702,355,284,4907,690,1874,16,6,1.129267273,0.69652,0.0114,0.06155337852,1.149425287,1.136452854,1.241647101,1.470050018,1.584815544,0.1832214547,1.269751914,0.02484957134,0.1131648435,10.59083518,12.7487465,12.76223776,7.462559622,0.8779941626,4.170276892,23
finland,2020,165229455,3,917,472,344,7014,1223,1958,29,3,1.121985755,1.0504,0.0188,0.6140850519,0.8620689655,1.558451755,1.769911504,1.836037575,2.401646844,1.047443007,1.335428737,0.04792417331,0.05658242173,8.367874662,27.69698019,25.6993007,12.64806191,1.256678252,6.952370083,15
france,2020,590942634,18,4075,2551,1459,23889,5661,8718,220,67,1.173759136,0.63561,0.0119,2.196273286,5.172413793,7.756928633,11.15676359,8.637306332,8.943663064,8.243344035,6.620849264,0.3869433252,1.263674085,24.17367079,10.17584915,13.63636364,11.07091413,6.626184041,8.848549086,14
germany,2020,523783596,20,5883,3975,2857,33589,9981,18215,772,146,1.170115243,1.06831,0.0275,1.946672745,5.747126437,11.30564497,17.58623804,17.1648164,12.70411091,15.24791646,14.04623961,1.366726424,2.753677857,23.06123358,28.45351593,40.90909091,20.02352792,11.52192133,15.77272463,7
india,2020,520488675,13,9488,6441,1705,48788,9088,5646,297,49,1.422135451,2.76208,0.0613,1.934426976,3.735632184,18.38148701,28.72042622,10.13785531,18.59638377,13.79998054,4.218954018,0.5236159676,0.9241795549,100,100,100,61.13401183,11.9128603,36.52343607,3
ireland,2020,63378256,5,503,399,182,3365,1105,733,3,1,1.279648776,0.51477,0.0172,0.2355490407,1.436781609,0.7458585224,1.440310638,0.8478711724,0.9870206398,0.856114408,0.3776417329,0.001774969382,0.01886080724,56.50051604,5.071450597,22.9020979,17.22927904,0.6594316112,8.944355325,12
israel,2020,1221358698,30,750,543,1171,4595,4281,14790,20,5,1.103915135,1.18097,0.0505,4.539251911,8.620689655,1.230666562,2.090482211,6.880566061,1.463860933,6.005772287,11.36834533,0.03194944887,0.09430403621,2.851129724,33.21238336,81.11888112,26.06846715,3.645743359,14.85710526,8
italy,2020,63963979,2,4585,2086,965,30499,4418,4945,36,7,1.248253383,0.6727,0.0096,0.2377259149,0.5747126437,8.757949282,9.057251219,5.624008784,11.50619505,6.227908033,3.670865292,0.06034895898,0.1320256507,46.91587655,11.74256665,9.615384615,13.81725327,5.629569033,9.723411153,11
japan,2020,363972365,18,6808,4033,1160,22313,5385,6548,3370,877,-,-,-,1.352724843,5.172413793,13.12122164,17.8481127,6.813468342,8.332687208,7.795829685,4.924198,5.978096878,16.54092795,-,-,-,3.262569318,10.1693178,6.715943559,16
south korea,2020,227999994,14,5276,2104,1024,29591,4343,7564,4754,306,1.271386432,1.37153,0.0458,0.8473754764,4.022988506,10.11423412,9.138522666,5.983896548,11.15418612,6.106300872,5.718574813,8.434654502,5.771407016,53.9781207,41.26182219,72.9020979,34.60248096,7.802722082,21.20260152,4
malaysia,2020,18735000,0,1767,592,43,8672,577,250,11,2,-,-,-,0.0696297367,0,3.226819502,2.311721149,0,3.044412052,0,0,0.01597472444,0.03772161449,-,-,-,0.03481486835,1.07958113,0.5571979993,30
netherlands,2020,45898090,4,2327,1038,856,14910,2744,4439,15,8,1.187884795,0.6903,0.0089,0.1705829689,1.149425287,4.32597943,4.325446993,4.95913139,5.462728922,3.513636216,3.27524062,0.02307460196,0.1508864579,28.48606625,12.48600768,8.391608392,10.13673812,3.254515579,6.695626847,17
norway,2020,11573097,2,885,394,230,6793,651,1712,2,0,1.13490868,-,0.0146,0.04301210018,0.5747126437,1.495642616,1.417735236,1.140661218,2.315970661,0.1199857314,1.143089469,0,0,12.31308953,-,18.35664336,7.821864409,0.9541356163,4.388000012,22
poland,2020,46734203,2,1666,663,194,7226,1330,839,18,3,-,-,-,0.1736904323,0.5747126437,3.028578158,2.632291855,0.9210686837,2.483833951,1.220935889,0.4605196288,0.02839951011,0.05658242173,-,-,-,0.374201538,1.354026262,0.8641139001,28
portugal,2020,26349501,2,931,587,129,5511,823,495,5,1,1.123336197,-,0.0093,0.09792948048,0.5747126437,1.585930753,2.289145747,0.5245821642,1.818971266,0.3988714856,0.1915574008,0.005324908145,0.01886080724,8.780148282,-,9.090909091,4.635924874,0.8541555664,2.74504022,25
russia,2020,34764779,2,3830,1825,496,11919,2895,2965,268,49,-,-,-,0.1292053594,0.5747126437,7.276046165,7.878815243,2.763206051,4.303192892,3.758471965,2.122768747,0.4721418556,0.9241795549,-,-,-,0.3519590015,3.687352809,2.019655905,26
singapore,2020,277874584,13,1533,944,861,16986,4323,8072,60,11,1.20995659,1.12198,0.0258,1.032737343,3.735632184,2.767527675,3.901029438,4.989630353,6.267542295,6.073872296,6.115763219,0.1029482241,0.2074688797,35.22432203,30.72058867,37.93706294,21.73006863,3.803222798,12.76664572,9
spain,2020,93174422,8,4237,1114,610,22687,2050,3566,28,5,1.24689154,0.57253,0.0122,0.3462882557,2.298850575,8.074899898,4.668593101,3.458582408,8.477677671,2.388364627,2.592670779,0.04614920393,0.09430403621,46.50012211,7.511288899,14.16083916,14.1634778,3.725155216,8.944316508,13
sweden,2020,118628746,10,1273,670,409,9510,1318,1944,25,4,1.09457599,-,0.0141,0.4408907579,2.873563218,2.257203423,2.663897417,2.232524094,3.369283732,1.201478743,1.3244826,0.04082429578,0.07544322897,0,-,17.48251748,5.199242865,1.645642192,3.422442528,24
switzerland,2020,182580359,13,1732,898,1247,12710,3722,9609,5,1,1.101584679,0.42002,0.0207,0.6785707139,3.735632184,3.158122007,3.693335741,7.344150299,4.609843844,5.099393586,7.317492709,0.005324908145,0.01886080724,2.13966928,1.069118896,29.02097902,7.328794019,3.905815488,5.617304753,20
turkey,2020,0,0,1881,856,240,12854,809,1686,21,0,-,-,-,0,0,3.450577059,3.503702366,1.201659144,4.66566905,0.3761714823,1.122760929,0.03372441825,0,-,-,-,0,1.794283056,0.8971415279,27
united kingdom,2020,2457667537,45,8189,3603,3600,61403,11107,26743,502,201,1.266783438,1.20921,0.0106,9.134066907,12.93103448,15.83182853,15.90662814,21.6969623,23.48690434,17.0736453,20.71400089,0.8874846909,3.791022256,52.57288162,34.40526829,11.36363636,24.08137753,14.92355956,19.50246854,5
united states,2020,26906607561,348,24642,16641,16437,164187,62251,128149,15638,5302,1.241580381,1.93069,0.0121,100,100,48.12553977,74.77424598,100,63.33369516,100,100,27.75342125,100,44.87868859,64.88128176,13.98601399,64.74919687,76.74836277,70.74877982,1
australia,2021,1251114736,12,5841,1664,1596,10127,838,1799,981,834,1.211129802,0.87759,0.0127,2.361409626,3.691275168,9.501318469,7.389595376,10.2519664,18.53901599,15.6470364,10.55838164,1.103123451,8.828199428,57.82251,19.94316846,8.498253783,18.46332341,10.22732965,14.34532653,8
austria,2021,197237778,4,1078,446,297,1380,145,241,37,9,-,-,-,0.3680532087,1.006711409,1.552121232,1.757225434,1.593120917,1.903729484,2.439489232,1.342718561,0.03943750845,0.09526833916,-,-,-,0.687382309,1.340388839,1.013885574,28
belgium,2021,23496936,3,1754,418,370,2226,147,315,9,1,1.096993766,0.41087,0.0114,0.03943095381,0.6711409396,2.680329784,1.627745665,2.079722704,3.512675681,2.477606251,1.780432982,0.00788750169,0.01058537102,5.714012585,0,6.984866123,2.68189012,1.772123243,2.227006681,25
brazil,2021,179135962,5,3178,1019,344,3136,122,203,144,39,1.198997394,0.47224,0.0054,0.3338145143,1.342281879,5.056911112,4.406936416,1.906412478,5.243338849,2.001143511,1.117946291,0.1600036057,0.4128294697,52.2834921,2.622369405,0,11.31639158,2.538190217,6.927290898,21
canada,2021,1865972581,22,5420,1975,1757,6889,780,1680,244,83,1.271772825,1.4334,0.0202,3.524382989,7.046979866,8.798691545,8.827745665,11.32515665,12.38089804,14.54164284,9.85448953,0.2726822013,0.8785857944,85.50891785,43.69319517,17.22933644,31.40056246,8.359986534,19.8802745,4
china,2021,17210048199,119,60066,21691,7673,52960,2732,7177,88750,1407,1.14336106,0.89732,0.0238,32.54694711,39.59731544,100,100,50.75989868,100,51.74385363,42.36957293,100,14.89361702,26.88287462,20.78624079,21.42025611,28.24672681,69.97086778,49.1087973,2
denmark,2021,85217129,2,846,363,301,1160,135,218,39,16,1.111006487,-,0.0148,0.1561716623,0.3355704698,1.164925398,1.373410405,1.619784029,1.4853274,2.248904136,1.206672187,0.04169108036,0.1693659363,12.11148224,-,10.94295693,5.886545325,1.163760071,3.525152698,24
finland,2021,30803541,3,994,355,304,1690,97,270,52,4,1.156286926,-,0.0231,0.05325103769,0.6711409396,1.411929637,1.336416185,1.639781362,2.493296058,1.52468077,1.514255294,0.05633929779,0.04234148407,32.78414361,-,20.60535506,13.52847266,1.252380011,7.390426337,19
france,2021,1551918506,27,4143,2007,1332,4183,524,1281,747,255,1.120219006,0.46533,0.0152,2.930365157,8.724832215,6.667445509,8.975722543,8.49220104,7.234552405,9.66266438,7.494380693,0.839455537,2.699269609,16.31743281,2.327101805,11.40861467,8.341669331,6.508211465,7.424940398,18
germany,2021,1983560306,25,6732,3320,2958,6728,891,2383,1633,397,1.171615496,0.91641,0.0362,3.746794386,8.053691275,10.98835075,15.04739884,19.3307559,12.07470379,16.65713741,14.01277653,1.837787894,4.202392294,39.78236109,21.6019656,35.8556461,21.80809169,11.76891293,16.78850231,7
india,2021,1349038569,23,12602,6673,1609,11348,1046,729,274,42,1.303513419,2.75112,0.0913,2.546627738,7.382550336,20.78507293,30.55260116,10.33862152,20.86114756,19.6112064,4.229267716,0.30648578,0.4445855827,100,100,100,61.98583561,13.39112358,37.6884796,3
ireland,2021,176005793,4,597,314,163,876,121,97,6,3,1.200259814,-,0.0218,0.3278939536,1.006711409,0.7493574552,1.146820809,0.6999066791,0.9452083452,1.982085001,0.4909499586,0.004507143823,0.03175611305,52.8598468,-,19.0919674,18.32160489,0.7563239381,9.538964415,14
israel,2021,2408546712,28,869,486,954,1315,351,2169,56,14,1.084478058,1.06238,0.0621,4.550635264,9.060402685,1.203311192,1.942196532,5.972536995,1.780110686,6.365542215,12.74695374,0.06084644161,0.1481951942,0,27.8393334,66.00698487,21.49147124,3.777461625,12.63446643,9
italy,2021,118354712,6,5021,1821,947,5661,586,637,91,22,1.22943792,0.54582,0.0117,0.2188497702,1.677852349,8.132781468,8.115606936,5.92587655,10.04545368,10.84429198,3.685082219,0.1002839501,0.2328781624,66.18103166,5.76647794,7.33410943,16.23566423,5.885281868,11.06047305,12
japan,2021,396250251,12,6761,3236,1100,4301,580,658,6774,2012,-,-,-,0.7444755102,3.691275168,11.03675023,14.65895954,6.945740568,7.458968068,10.72994092,3.809298474,7.630594492,21.29776649,-,-,-,2.217875339,10.44600235,6.331938843,22
south korea,2021,1099606364,19,6230,1807,1107,6383,506,1045,9312,779,1.117479194,1.79805,0.0567,2.074838994,6.040268456,10.15053907,8.050867052,6.992401013,11.41857325,9.319611206,6.098426594,10.49037725,8.246004022,15.06657892,59.2748638,59.72060536,28.4354311,8.845849932,18.64064052,6
malaysia,2021,68547378,3,2251,729,58,2009,48,14,2,0,-,-,-,0.1246416484,0.6711409396,3.509796722,3.065895954,0,3.09997908,0.5908137984,0,0,0,-,-,-,0.397891294,1.283310694,0.8406009941,30
netherlands,2021,204873859,16,2573,820,838,3117,337,839,58,29,1.231302387,0.7654,0.0119,0.3824964802,5.033557047,4.047197837,3.486705202,5.199306759,5.207204123,6.09872308,4.879924287,0.06310001352,0.3069757595,67.03224917,15.14923619,7.5669383,19.03289544,3.661142133,11.34701878,11
norway,2021,184553420,1,1165,317,220,1675,130,164,11,3,1.136188783,-,0.0195,0.3440613696,0,1.69731967,1.160693642,1.079856019,2.464768643,2.153611588,0.8872589613,0.0101410736,0.03175611305,23.60839093,-,16.41443539,10.09172192,1.185675714,5.638698817,23
poland,2021,30569189,3,1919,471,174,1918,109,110,30,9,-,-,-,0.05280777241,0.6711409396,2.955706132,1.87283237,0.773230236,2.926912763,1.753382885,0.5678457352,0.03155000676,0.09526833916,-,-,-,0.361974356,1.372091058,0.8670327072,29
portugal,2021,519515341,1,1096,461,156,1398,75,113,18,6,1.186751639,-,0.0115,0.9776253635,0,1.582162288,1.826589595,0.6532462338,1.937962382,1.105393558,0.5855909145,0.01802857529,0.0635122261,46.69272598,-,7.101280559,13.69290798,0.9715607217,7.332234349,20
russia,2021,2650000,1,3589,1277,400,2440,184,486,396,73,-,-,-,0,0,5.74284856,5.6,2.279696041,3.9196668,3.182771107,2.791908198,0.4439536666,0.7727320843,-,-,-,0,3.091697057,1.545848529,26
singapore,2021,933902052,10,1764,804,841,4076,361,967,217,60,1.139521278,1.2754,0.0347,1.76141744,3.020134228,2.69701926,3.412716763,5.219304093,7.031056846,6.556127311,5.637051934,0.2422589805,0.635122261,25.12983252,36.94177972,34.10942957,20.1925187,3.928832181,12.06067544,10
spain,2021,894816921,3,4374,906,566,5312,225,367,96,34,1.182260724,0.58286,0.0151,1.687489838,0.6711409396,7.052972396,3.884393064,3.386215171,9.381715829,3.964170002,2.088016089,0.1059178798,0.3599026146,44.64241065,7.349214827,11.29220023,13.1284913,3.777912881,8.453202089,16
sweden,2021,258468902,6,1330,544,458,2003,169,327,47,5,1.202781899,0.78566,0.0179,0.4838688672,1.677852349,1.972696018,2.210404624,2.666311159,3.088568114,2.896893463,1.851413699,0.05070536801,0.05292685509,54.01129764,16.01495567,14.55180442,17.34795579,1.848739912,9.598347851,13
switzerland,2021,269153541,12,1989,737,1203,2857,439,1507,8,1,1.135323542,0.53904,0.026,0.5040783362,3.691275168,3.072532461,3.102890173,7.632315691,4.712728933,8.042691062,8.831184195,0.006760715734,0.01058537102,23.2133678,5.476765303,23.98137369,11.37337206,4.426461075,7.899916567,17
turkey,2021,11100000,3,2337,795,230,2732,111,87,21,1,-,-,-,0.01598275927,0.6711409396,3.653326212,3.371098266,1.146513798,4.475000475,1.791499905,0.4317993612,0.02140893316,0.01058537102,-,-,-,0.3435618494,1.86265404,1.103107945,27
united kingdom,2021,4650457482,49,9154,2889,3524,13475,1228,3451,1002,379,1.201021916,0.97485,0.0137,8.791099187,16.10738255,15.03054174,13.05433526,23.10358619,24.90633499,23.07985516,20.33006033,1.126785956,4.011855616,53.20778225,24.09913471,9.662398137,22.37355937,15.5804194,18.97698939,5
united states,2021,52872119257,299,26461,13271,15060,33187,5264,16920,29059,9447,1.203542019,1.78563,0.0164,100,100,43.91501719,61.06358382,100,62.39516175,100,100,32.74101952,100,54.35832836,58.74415127,12.80558789,65.1816135,75.01434778,70.09798064,1
